,index,제출년도,사업명,사업_부처명,계속과제여부,내역사업명,과제명,요약문_연구목표,요약문_연구내용,요약문_기대효과,요약문_한글키워드,요약문_영문키워드,label
0,0,,,,,,"핵분열 에너지를 이용하여 전기를 생산 하는 설비인 원자력발전소를 개량하여 안정성․경제성․환경친화성을 가진 원전을 설계 및 건설, 운영하는 기술",,,,"소듐냉각고속로, 초고온가스로, 핵융합로, 납냉각고속로, 가속기 구동 미임계로, 차세대경수로, 사용 후 핵연료, 순환핵연료주기, 고준위(방사성) 폐기물, 원전 해체(폐로), 파이로 공정, 금속연료, 장수명핵종 변환, 초우란원소, 최종처분, 중간저장","SFR(Sodium-cooled Fast Reactor), VHTR(Very High Temperature Reactor), Nuclear Fusion Reactor, LFR(Lead-cooled Fast Reactor),ADS, Advanced PWR(Pressurized Water Reactor), SF(Spent Fuel, Used Nuclear Fuel), Advanced nuclear recycle system, High level(radioactive) waste, Decommissioning, Pyro-processing, Metal fuel, Transmutation of long-lived Radionuclide, Transuranic element, Final disposal, Interim storage.",1
1,1,,,,,,중수소-삼중수소의 고온 플라즈마 상태에서 일어나는 핵융합반응 제어를 통해 중성자의 에너지를 안전하고 효과적으로 열에너지 등의 형태로 회수하여 전력 혹은 수소를 생산하는 기술 및 고에너지 중성자를 활용하는 기술,,,,"블랑켓, 삼중수소 연료주기, 저방사화 재료, 동력변환","Blanket, Tritium fuel cycle, Low activation material, Power conversion",2
2,2,,,,,,"바이오매스 혼소 등을 통한 연료 다변화, 기존 화력발전 대비 고효율화, 화석연료 청정화, CO2 재순환 등을 통한 CO2 저감을 달성할 수 있는 고효율 청정 화석 연료 기술",,,,"고효율발전, 초초임계발전, 가스복합발전, 유동층발전, 가스화연료전지기술, 바이오매스혼소, 순산소연소발전, 고효율가스터빈, 청정석탄기술","High efficiency generation, Ultrasupercritical (USC) generation, Integrated Gasification Combined Cycle (IGCC), Fluidized Bed Combustion (FBC), Integrated Gasification Fuel Cell (IGFC), Biomass co-firing, Oxy-fuel ombustion, High efficiency gas turbine, Clean Coal Technology (CCT)",3
3,3,,,,,,"댐, 강 또는 하천 등에서 물이 가지는 위치에너지를 활용하여 에너지를 변환하는 제반 기술",,,,"수력, 수차, 발전기, 소수력, 출력","Hydropower, Runner, Generator, Small hydro power",4
4,4,,,,,,"태양광발전시스템 (태양전지, 모듈, 축전지 및 전력조절기, 직 교류 변환장치로 구성)을 이용하여 태양 빛 에너지를 직접 전기에너지로 변환시키는 기술",,,,"태양전지, 모듈, 인버터, 실리콘 태양전지, 비실리콘 태양전지, 고효율","Solar cell, Module, Inverter, c-Si solar cell, Compound solar cell, Organic solar cell, High efficiency",5
5,5,,,,,,"핵분열 에너지를 이용하여 전기를 생산 하는 설비인 원자력발전소를 개량하여 안정성․경제성․환경친화성을 가진 원전을 설계 및 건설, 운영하는 기술",,,,"소듐냉각고속로, 초고온가스로, 핵융합로, 납냉각고속로, 가속기 구동 미임계로, 차세대경수로, 사용 후 핵연료, 순환핵연료주기, 고준위(방사성) 폐기물, 원전 해체(폐로), 파이로 공정, 금속연료, 장수명핵종 변환, 초우란원소, 최종처분, 중간저장","SFR(Sodium-cooled Fast Reactor), VHTR(Very High Temperature Reactor), Nuclear Fusion Reactor, LFR(Lead-cooled Fast Reactor),ADS, Advanced PWR(Pressurized Water Reactor), SF(Spent Fuel, Used Nuclear Fuel), Advanced nuclear recycle system, High level(radioactive) waste, Decommissioning, Pyro-processing, Metal fuel, Transmutation of long-lived Radionuclide, Transuranic element, Final disposal, Interim storage.",6
6,6,,,,,,"물, 지하수 및 지하의 열 또는 온도차 등을 이용하여 전기 또는 열을 생산하는 기술",,,,"지열, 지열에너지, 지열발전, 지열직접이용, 심부지열, 지열 냉난방, 지열원 열펌프, 인공 지열저류층 생성기술, 열수자원, 지하 열에너지 저장","Geothermal, Geothermal energy, Geothermal power generation, Geothermal direct-use, Deep geothermal, Geothermal heating and cooling, Geothermal (ground-source) heat pump, Enhanced geothermal system (EGS), Hydrothermal resources, Underground thermal energy storage (UTES)",7
7,7,,,,,,"바람의 운동에너지를 로터 블레이드에서 흡수, 기계적 에너지로 변환하여 전력을 생산하는 발전기술",,,,"풍력터빈, 풍력발전단지, 육상풍력발전, 해상풍력발전, 부유식풍력발전, 바람자원평가, 바람자원측정, 블레이드, 타워, 기어박스, 발전기, 나셀, 드라이브트레인, 인증, 설계평가, 출력곡선, 출력효율, 실증시험, 실증단지, 저 풍속 형 풍력터빈, 대형풍력터빈, 소형풍력터빈, 수평축 풍력터빈, 수직축풍력터빈, 제어기, 해저케이블, 육상변전소, 해상변전소, 유지보수, 균등화발전단가, 경제성평가, 사업타당성검토","Wind turbine, Wind farm, On-shore wind power generation, Off-shore wind power generation, Floating wind power generation, Wind resource assessment, Wind resource measurement, Blade, Tower, Gearbox, enerator, Nacelle, Drive-train, Certification, Design assessment, Power curve, Power coefficient, Field test, Test bed, Low speed wind turbine, Large wind turbine, Small wind turbine, Horizontal wind turbine, Axial wind turbine, Controller, Offshore cable, On-shore power station, Off-shore power station, Maintenance, Levelized cost of energy, Economic analysis, Project feasibility study",8
8,8,,,,,,"조류, 조력, 파력, 해수온도차, 해수염도차, 해류 등 이산화탄소를 배출하지 않는 해양의 클린에너지를 실용화하기 위한 관련 기술",,,,"조류발전, 조력발전, 파력발전, 해수온도차발전, 해수냉난방, 해수염도차발전","Tidal current power, Tidal barrage power, Wave power, Seawater cooling/heating, OTEC(Ocean Thermal Energy Convention), Salinity gradient power",9
9,9,,,,,,"동물, 식물, 또는 파생자원(바이오매스) 및 해양 바이오매스로부터 열화학적 또는 생물학적 전환 기술을 적용하여 화석에너지를 대체할 수 있는 대체 에너지원 기술",,,,"바이오매스, 바이오에너지, 바이오연료, 바이오알코올, 바이오에탄올, 바이오부탄올, 바이오가스, 바이오메탄, 바이오수소, 바이오리파이너리, 바이오디젤, 바이오고탄소연료, 바이오고형연료, 우드칩, 우드팰릿, 전처리, 당화, 리그닌, 리그노셀룰로오스","Biomass, Bioenergy, Biofuel, Bioalcohol, Bioethanol, Biobutanol, Biogas, Biomethane, Bio-hydrogen, Biorefinery, Biodiesel, Bio-jet fuel, Wood chip, Wood pellet, Pretreatment, Saccharification, Lignin, Lignocellulos",10
10,10,,,,,,"폐기물은 생활 및 사업활동으로 발생되는 고발열량의 가연성폐기물을 이용하여 얻는 것이며, 폐기물에너지화기술(WTE)은 가연성폐기물 중 에너지함량이 높은 폐기물을 이용하여 폐기물에너지로 전환시키는 기술을 의미",,,,"폐기물에너지, 폐기물에너지화기술, 폐기물 연료화기술, 고형연료화 기술, 열분해 가스화, 열분해 유화","Waste energy, Waste energy technology, Waste Fuel technology, Solid refuse fuel, Pyrolysis gasification, Pyrolysis liquidification",11
11,11,,,,,,"열화학적, 광화학적 열화학적, 광화학적, 전기화학적, 생물학적, 화학적인 방법으로 화석연료를 전환하거나 물을 분해하여 수소를 제조하는 기술",,,,"수소제조, 수전해, 물분해, 탄화수소 개질, 광화학적 수소제조, 원자력 수소, 생물학적 수소 제조","Hydrogen production, Water electrolysis, Solar hydrogen fuel, Photoelectrochemical hydrogen generation, Reforming, Nuclear hydrogen production, Photocatalyst-enzyme-microbial hydrogen generation",12
12,12,,,,,,"연료(수소, 메탄올, 석탄, 천연가스, 석유, 바이오매스가스, 매립지가스 등)의 화학 에너지를 전기화학반응에 의해 전기에너지로 직접 전환하고, 이를 통해 높은 발전효율과 공해물질 배출이 적으면서 전기와 열을 동시에 생산하는 기술",,,,"연료전지, 고체산화물 연료전지, 세라믹 연료전지, 알카리 연료전지,인산형 연료전지, 용융탄산염 연료전지, 고분자전해질 연료전지, 고분자 연료전지, 직접메탄올 연료전지, 직접탄소 연료전지, 바이오 연료전지","Fuel Cell, Solid Oxide Fuel Cell (SOFC), Ceramic Fuel Cell, Alkaline Fuel Cell (AFC), Phosphoric Acid Fuel Cell (PAFC), Molten Carbonate Fuel Cell (MCFC), Polymer Electrolyte Membrane Fuel Cell (PEMFC), Direct Methanol Fuel Cell (DMFC), Direct Carbon Fuel Cell (DCFC), Bio Fuel Cell (BFC)",13
13,13,,,,,,"전기에너지를 고효율로 저장, 사용함으로써 전력의 품질 개선 및 에너지 효율성 극대화를 이루며, 온실가스 배출량을 절감할 수 있는 에너지 저장 기술 및 주변 장치 기술을 포함하는 기술",,,,"전력 저장 기술, 전력 저장 시스템, 에너지 저장 시스템, 전력 조절 시스템","Power storage technology, Power storage system, Energy storage system, Power control system",14
14,14,,,,,,"생산된 수소를 압축, 액화, 매체를 이용한 흡착 및 흡장 또는 수소화합물의 형태로 안전하고 효율적으로 저장하는 기술",,,,"수소저장, 물리흡착, 금속수소화물, 화학수소화물, 수소저장합금, 압축 수소저장, 액화수소저장, 탈수소화, 수소화, 액화저장, 압축저장","Hydrogen storage, Physisorption, Metal hydrides, Chemical hydrides, Hydrogen storage alloys, Compressed hydrogen storage, Liquid hydrogen storage, Chemical hydrogen storage, Dehydrogenation. Hydrogenation, Liquified hydrogen storage, Compressed(Pressureized) hydrogen storage",15
15,15,,,,,,"발전, 송전, 배전 등 전력기술에 정보통신기술과 자동화 시스템을 도입하여 전력시스템과 중전기기를 디지털화 지능화하고, 전력 서비스를 고부가가치화하는 기술로 부품 및 시스템 기술 개발, 지능형 전력감시 제어기술 등을 포함",,,,"스마트그리드, 지능형 전력망, 지능형 송전 시스템, 지능형 변전 시스템, 광역감시 시스템, 유연전력망","Smart Grid, WAMS(Wide Area Monitoring & Measurement System), FACTS(Flexible AC Transmission System), HVDC(High Voltage Direct Current",16
16,16,,,,,,"전력의 이용 손실을 줄이고 에너지 절약 효과를 극대화시키기 위한 제품, 기술, 시스템 및 연계기술",,,,"에너지 관리 시스템, 에너지 저장 장치, 첨단계량인프라, 무정전 전원 장치","EMS(Energy Management System), ESS(Energy Storage System), AMI(Advanced Metering Infrastructure), UPS(Uninterruptible Power Supply)",17
17,17,,,,,,"여객 및 화물을 운송하는 육상, 해상, 항공 교통수단의 에너지 소비 효율 향상과 교통 물류체계의 최적화를 통해 수송부문의 온실가스 감축에 기여하는 기술",,,,"이동성, 접근성, 교통안전, 지능형 교통체계, C-ITS, 배출가스, 교통정보, 교통지정체, 대중교통, 물류, 교통사고, 친환경, 에너지효율, 경량화, 신재생에너지적용, 효율, 연료효율, 배출가스 저감, 전기, 하이브리드, 교통시스템, 자동차, 차세대 자동차, 친환경 선박, 고효율 철도, 가스엔진, 저공해 디젤엔진, 이중연료 엔진, 고효율 동력변환장치, 배기가스 후처리장치, 고효율 모터, 차세대 동력원, 소재 경량화 및 고강도화, 첨단 재료 기술, 지능형 교통정보 시스템, 지능형 물류 시스템, 지능형 항법 시스템","Mobility, Accessibility, Traffic safety, ITS (Intelligent transport system), C-ITS, Emission, Traffic information, Traffic congestion, Transit, Logistics, Traffic accidents, Eco-friendly, Energy efficient, Weight lightening, Renewable energy application, Efficiency, Fuel economy(reduction), Emission reduction, electric, HEV, Transportation System, Vehicle, The next generation of car, Eco-friendly ship, High efficiency locomotive, Gas engine, Near low emission diesel engine, Dual-fuel engine, High efficiency on power transmission, High efficiency motor, The next generation of power source, Lighter and stronger material, Advanced materials technology, Intelligent transportation system, Intelligent logistics systems, Intelligent navigation systems",18
18,18,,,,,,석유계 및 자원의 가공 주체인 산업계에서 다양한 형태로 투입 및 분산 소비되는 에너지를 근원적으로 감축하기 위해 원료채취부터 생산 후 사용 폐기 재활용의 전 과정을 고려한 저탄소형 원료대체와 통합적 고효율 신공정을 연계한 산업구조로의 전환에 적합한 기반 기술,,,,"공정최적화, 탄소중립형 원료, 재생가능 소재 제품, 제조 전과정, 자원 및 에너지 순환, 신혁신공정, 고에너지효율, 재활용 및 재이용, 폐기물 최소화 및 부가가치화, 신재생에너지 유틸리티, 산업간 자원 에너지 순환, 지속가능산업, 에너지효율, 친환경공정, 청정기술, 신공정 기술, 에너지소비 절감, 저온난화 지수, 친환경원료, 기기효율화, 친환경 연료, 폐기물재활용, 전주기평가, 배출가스저감, 폐열회수, 공정최적화, 공정효율, 기기효율, 녹색공정(그린 프로세스)","Process optimization, Carbon-neutral feedstock, Renewable raw material and product, Manufacturing life cycle, Resource and energy circulation, New innovative process, High energy efficiency, Recycling and resource, Waste minimization and valorization, New and renewal energy utility, Inter-industrial resource and energy exchange, Sustainable industry, Energy Efficiency, Eco-friendly process, Clean technology, Process technology, Energy saving, Low GWP, Eco-friendly material, Energy efficient device (or unit), Eco-friendly fuel, Waste minimization, Waste reuse, Life cycle analysis, Emission minimization, Waste heat recovery, Process optimization, Process Efficiency, Green proces",19
19,19,,,,,,국가 온실가스 감축을 위한 신축 건물부문의 핵심 아젠다인 제로에너지 빌딩의 보급 확산 차원에서의 건물 핵심부품 및 기축 건물 에너지 효율 최적화를 위한 기술,,,,"건물에너지효율화, 패시브, 액티브, 건물에너지관리, 건물신재생, 벽, 창호, 단열재, 차양, 조명, 자연채광, 인공채광, LED, 설비, 모니터링, 예측, HEMS, BEMS, 건물통합형, 공조, 반송동력(펌프, 팬), 냉난방 (시스템), 건물외피, 고효율 설비, 제로에너지주택, 플러스에너지주택, 생태건축, 패시브하우스, 제로에너지빌딩, 생태산업단지, 자원순환, 제로 에너지, 탄소 중립, 온실가스, 신재생에너지, 그린 리모델링, 자원 재활용, 지속가능, 자원절감, 전과정 평가, 스마트 그리드","Building energy efficiency, Passive, Active, Energy management, Renewable, Wall, Window, lighting, Monitoring, BEMS, HEMS, BIPV, Geothermal, LED, Insulation, HVAC, Window, Sunshade, Pump, Fan, Renewable energy, Cooling & heating system, High efficiency system, Zero energy house, Plus energy house, Ecological architecture, Passive house, Zero energy building, Eco industrial complex, Resource recycling, Zero energy, Carbon neutralization, Green House Gas, New regeneration energy, Green remodeling, Resources recycling, Sustainability, Resources Saving, life cycle assessment, Smart gr",20
20,20,,,,,,"CO2를 대량발생원으로부터 포집한 후 압축, 수송 과정을 거쳐 육상 또는 해양지중에 안전하게 저장하거나 직접 활용 및 유용한 물질로 전환하는 기술",,,,"연소후, 연소전, 순산소, 포집, 분리, 흡수, 흡착, 분리막, 이산화탄소, 화학적 전환, 생물학적 전환, 광물화, 이용","Post-combustion, Pre-Combustion, Oxy-fuel, Capture, Separation, Absorption, Adsorption, Membrane, CO2, Chemical conversion, Biological conversion, Mineralization, Utilization",21
21,21,,,,,,"Non-CO2 온실가스의 발생현황을 모니터링 및 데이터베이스화 하고, 이를 저감하고자 포집, 정제, 활용 및 분해처리기술과 배출을 원천적으로 개선할 수 있는 대체물질 및 대체프로세스를 개발하는 기술",,,,"비이산화탄소, 메탄, 아산화질소, 육불화황, 냉매, 불화가스, 발포제, 매립지가스, 혐기성발효, 축산분뇨, 하수슬러지, 질산공정, 반도체 배출가스, 디스플레이 산업, 중전기, 수소불화탄소, 과불화탄소, 삼불화질소, 온난화지수, 비이산화탄소 물질, 불화가스, 플라즈마, 선택적 환원촉매, 재생기, 재생가스, 회수, 저장, 재사용, 재사용순도요구조건, 가스품질검사, 추가처리, 최종처분, 재활용, 흡수 수분, 가스분해 부산물, 이슬점 온도","Non-CO2, CH4, N2O, SF6, HFC, PFC, Refrigerant, Foaming agent, Landfill gas(LFG), Anaerobic digestion, Manure, Sewage sludge, Nitric acid process, Semi conductor flue gas, Display industry, Gas Insulator Switch(GIS), HFCs, PFCs, NF3, GWI, F-gas, Plasma, SCR(Selective Catalytic Reduction), Reclaimer, Reclaimed gas, Recovery, Storage, Reuse, Purity requirement for reuse, Gas quality check, Further treatment, Final disposal, Recycling, Absorbed moisture, Decomposition by-products, Dew point temperature",22
22,22,,,,,,기후변화로 인하여 작물 및 가축 생산에 영향을 이해하는 데 필요한 기술 및 기후변화로 인한 농업 축산 생산성 감소 등 부정적 영향을 최소화 시키는 기술,,,,"작물 생산성, 화학 비료 / 농약, 아열대 작물, 농산물 가공 / 저장 / 유통, 가축 관리, 축산 부산물 / 폐기물, 생물학적 및 비생물학적 스트레스, 유전자원 및 유전개량, 농업생명공학","Crop productivity, Chemical fertilizer / pesticide, Agricultural product postharvest / storage / distribution, Livestock management, Livestock byproducts / waste, Biotic and abiotic stresses, Genetic resource and genetic improvement, Agricultural biotechnology",23
23,23,,,,,,기후변화로 인하여 작물 및 가축 생산에 영향을 이해하는 데 필요한 기술 및 기후변화로 인한 농업 축산 생산성 감소 등 부정적 영향을 최소화 시키는 기술,,,,"작물 생산성, 화학 비료 / 농약, 아열대 작물, 농산물 가공 / 저장 / 유통, 가축 관리, 축산 부산물 / 폐기물, 생물학적 및 비생물학적 스트레스, 유전자원 및 유전개량, 농업생명공학","Crop productivity, Chemical fertilizer / pesticide, Agricultural product postharvest / storage / distribution, Livestock management, Livestock byproducts / waste, Biotic and abiotic stresses, Genetic resource and genetic improvement, Agricultural biotechnology",24
